InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Region,SpotPrice,Price,AvailabilityZone,GpuInfo
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
2x_RTX4000-Ada_SECURE,RTX4000-Ada,2.0,16.0,94.0,US,0.52,0.52,US-WA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 40}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-CA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-CA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
